City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,sitka,57.0531,-135.33,3.94,81,75,6.17,US,2024-04-08
129,mandalgovi,45.7625,106.2708,6.45,60,100,2.04,MN,2024-04-08
130,kaa-khem,51.6833,94.7333,10.23,79,94,1.71,RU,2024-04-08
131,atafu village,-8.5421,-172.5159,29.52,75,13,4.02,TK,2024-04-08
132,tromso,69.6496,18.957,3.01,75,75,4.12,NO,2024-04-08
133,ad dawadimi,24.5077,44.3924,21.64,61,100,5.54,SA,2024-04-08
134,isafjordur,66.0755,-23.124,0.02,64,75,8.75,IS,2024-04-08
135,mermoz boabab,14.7065,-17.4758,27.31,85,10,8.73,SN,2024-04-08
136,karratha,-20.7377,116.8463,29.94,29,98,8.61,AU,2024-04-08
137,manismata,-2.4667,111.0333,25.43,97,100,1.04,ID,2024-04-08
138,yondo,7.0062,-73.9097,31.08,67,88,1.23,CO,2024-04-08
139,viedma,-40.8135,-62.9967,20.64,58,100,6.31,AR,2024-04-08
140,aswan,24.0934,32.907,29.61,13,0,4.23,EG,2024-04-08
141,coquimbo,-29.9533,-71.3436,17.08,77,0,1.7,CL,2024-04-08
142,amarante do maranhao,-5.5667,-46.7422,29.04,74,78,0.99,BR,2024-04-08
143,al qaryatayn,34.2296,37.2407,20.18,27,100,3.34,SY,2024-04-08
144,brisas de zicatela,15.8369,-97.0419,28.29,74,0,1.54,MX,2024-04-08
145,utrik,11.2278,169.8474,26.62,83,88,10.2,MH,2024-04-08
146,anadyr,64.75,177.4833,-14.72,78,0,3.0,RU,2024-04-08
147,talakan,50.3167,130.3667,-3.32,48,16,3.19,RU,2024-04-08
148,lerwick,60.1545,-1.1494,10.0,73,89,11.61,GB,2024-04-08
149,talnakh,69.4865,88.3972,-7.66,92,100,5.42,RU,2024-04-08
150,san luis de la loma,17.2706,-100.8939,28.05,48,3,2.22,MX,2024-04-08
151,hawaiian paradise park,19.5933,-154.9731,20.57,92,100,0.45,US,2024-04-08
152,boende,-0.2167,20.8667,32.03,45,33,1.48,CD,2024-04-08
153,san fernando,15.0286,120.6898,26.31,71,55,1.06,PH,2024-04-08
154,whitehorse,60.7161,-135.0538,-3.28,95,100,3.0,CA,2024-04-08
155,fale old settlement,-9.3852,-171.2468,29.42,77,38,4.94,TK,2024-04-08
156,west island,-12.1568,96.8225,27.99,78,40,6.17,CC,2024-04-08
157,chulym,55.0997,80.9572,2.27,92,67,3.58,RU,2024-04-08
158,puerto baquerizo moreno,-0.9,-89.6,28.55,79,20,5.14,EC,2024-04-08
159,margaret river,-33.95,115.0667,15.23,62,0,5.72,AU,2024-04-08
160,revda,56.801,59.9303,0.6,81,72,3.44,RU,2024-04-08
161,klyuchi,52.2667,79.1667,12.96,55,100,1.57,RU,2024-04-08
162,hermanus,-34.4187,19.2345,16.56,95,100,9.42,ZA,2024-04-08
163,morant bay,17.8815,-76.4093,29.23,68,52,5.89,JM,2024-04-08
164,key west,24.5557,-81.7826,27.0,53,0,7.2,US,2024-04-08
165,al hasaheisa,14.7526,33.2984,35.08,5,68,6.26,SD,2024-04-08
166,djibo,14.1022,-1.6306,42.78,5,64,4.71,BF,2024-04-08
167,cabo san lucas,22.8909,-109.9124,21.53,58,40,2.57,MX,2024-04-08
168,paramonga,-10.6667,-77.8333,23.85,78,69,3.14,PE,2024-04-08
